55 84
1 8.000000e-001 0.000000e+000 0.000000e+000
2 1.000000e+000 2.000000e-001 0.000000e+000
3 1.000000e+000 8.000000e-001 0.000000e+000
4 8.000000e-001 1.000000e+000 0.000000e+000
5 2.000000e-001 1.000000e+000 0.000000e+000
6 0.000000e+000 8.000000e-001 0.000000e+000
7 0.000000e+000 2.000000e-001 0.000000e+000
8 2.000000e-001 0.000000e+000 0.000000e+000
9 1.000000e-001 1.000000e-001 0.000000e+000
10 0.000000e+000 3.500000e-001 0.000000e+000
11 0.000000e+000 5.000000e-001 0.000000e+000
12 0.000000e+000 6.500000e-001 0.000000e+000
13 1.000000e-001 9.000000e-001 0.000000e+000
14 3.500000e-001 1.000000e+000 0.000000e+000
15 5.000000e-001 1.000000e+000 0.000000e+000
16 6.500000e-001 1.000000e+000 0.000000e+000
17 9.000000e-001 9.000000e-001 0.000000e+000
18 1.000000e+000 6.500000e-001 0.000000e+000
19 1.000000e+000 5.000000e-001 0.000000e+000
20 1.000000e+000 3.500000e-001 0.000000e+000
21 9.000000e-001 1.000000e-001 0.000000e+000
22 6.500000e-001 0.000000e+000 0.000000e+000
23 5.000000e-001 0.000000e+000 0.000000e+000
24 3.500000e-001 0.000000e+000 0.000000e+000
25 2.629839e-001 1.274364e-001 0.000000e+000
26 1.629198e-001 2.649769e-001 0.000000e+000
27 1.427998e-001 4.351266e-001 0.000000e+000
28 1.334110e-001 5.898754e-001 0.000000e+000
29 1.277073e-001 7.458087e-001 0.000000e+000
30 2.608555e-001 8.514482e-001 0.000000e+000
31 4.315010e-001 8.693626e-001 0.000000e+000
32 5.883686e-001 8.583799e-001 0.000000e+000
33 7.459984e-001 8.624531e-001 0.000000e+000
34 8.599896e-001 7.455331e-001 0.000000e+000
35 8.467564e-001 5.827860e-001 0.000000e+000
36 8.468688e-001 4.154922e-001 0.000000e+000
37 8.600559e-001 2.533955e-001 0.000000e+000
38 7.458971e-001 1.362121e-001 0.000000e+000
39 5.871616e-001 1.382243e-001 0.000000e+000
40 4.258689e-001 1.296773e-001 0.000000e+000
41 2.719776e-001 5.337158e-001 0.000000e+000
42 2.570435e-001 6.815303e-001 0.000000e+000
43 5.090469e-001 7.279477e-001 0.000000e+000
44 3.703966e-001 7.523564e-001 0.000000e+000
45 6.854799e-001 6.920472e-001 0.000000e+000
46 6.964663e-001 4.973922e-001 0.000000e+000
47 6.862407e-001 3.028254e-001 0.000000e+000
48 5.079366e-001 2.617990e-001 0.000000e+000
49 2.892533e-001 3.886993e-001 0.000000e+000
50 3.431530e-001 2.519880e-001 0.000000e+000
51 4.142644e-001 4.863614e-001 0.000000e+000
52 4.222623e-001 3.601727e-001 0.000000e+000
53 3.962106e-001 6.235603e-001 0.000000e+000
54 5.459883e-001 5.741526e-001 0.000000e+000
55 5.519220e-001 4.144439e-001 0.000000e+000
25 203 9 8 25 
26 203 7 9 26 
27 203 9 25 26 
28 203 10 7 26 
29 203 11 10 27 
30 203 12 11 28 
31 203 11 27 28 
32 203 6 12 29 
33 203 12 28 29 
34 203 13 6 29 
35 203 5 13 30 
36 203 14 5 30 
37 203 15 14 31 
38 203 16 15 32 
39 203 15 31 32 
40 203 4 16 33 
41 203 16 32 33 
42 203 17 4 33 
43 203 3 17 34 
44 203 18 3 34 
45 203 19 18 35 
46 203 20 19 36 
47 203 19 35 36 
48 203 2 20 37 
49 203 20 36 37 
50 203 21 2 37 
51 203 1 21 38 
52 203 22 1 38 
53 203 23 22 39 
54 203 24 23 40 
55 203 23 39 40 
56 203 8 24 25 
57 203 25 24 40 
58 203 27 10 26 
59 203 13 29 30 
60 203 14 30 31 
61 203 17 33 34 
62 203 18 34 35 
63 203 21 37 38 
64 203 22 38 39 
65 203 28 27 41 
66 203 29 28 42 
67 203 28 41 42 
68 203 32 31 43 
69 203 31 30 44 
70 203 34 33 45 
71 203 33 32 45 
72 203 36 35 46 
73 203 35 34 45 
74 203 38 37 47 
75 203 37 36 47 
76 203 40 39 48 
77 203 39 38 47 
78 203 27 26 49 
79 203 29 42 30 
80 203 25 40 50 
81 203 26 25 50 
82 203 43 31 44 
83 203 27 49 41 
84 203 45 32 43 
85 203 36 46 47 
86 203 46 35 45 
87 203 40 48 50 
88 203 48 39 47 
89 203 49 26 50 
90 203 44 30 42 
91 203 41 49 51 
92 203 50 48 52 
93 203 43 44 53 
94 203 46 45 54 
95 203 45 43 54 
96 203 48 47 55 
97 203 52 48 55 
98 203 47 46 55 
99 203 44 42 53 
100 203 43 53 54 
101 203 46 54 55 
102 203 42 41 53 
103 203 49 50 52 
104 203 53 41 51 
105 203 53 51 54 
106 203 51 49 52 
107 203 55 54 51 
108 203 52 55 51 
