55 81
1 8.000000e-001 0.000000e+000 0.000000e+000
2 1.000000e+000 2.000000e-001 0.000000e+000
3 1.000000e+000 8.000000e-001 0.000000e+000
4 8.000000e-001 1.000000e+000 0.000000e+000
5 6.000000e-001 6.000000e-001 0.000000e+000
6 2.000000e-001 1.000000e+000 0.000000e+000
7 0.000000e+000 8.000000e-001 0.000000e+000
8 0.000000e+000 2.000000e-001 0.000000e+000
9 2.000000e-001 0.000000e+000 0.000000e+000
10 1.000000e-001 1.000000e-001 0.000000e+000
11 0.000000e+000 3.500000e-001 0.000000e+000
12 0.000000e+000 5.000000e-001 0.000000e+000
13 0.000000e+000 6.500000e-001 0.000000e+000
14 1.000000e-001 9.000000e-001 0.000000e+000
15 3.000000e-001 9.000000e-001 0.000000e+000
16 4.000000e-001 8.000000e-001 0.000000e+000
17 5.000000e-001 7.000000e-001 0.000000e+000
18 6.666667e-001 7.333333e-001 0.000000e+000
19 7.333333e-001 8.666667e-001 0.000000e+000
20 9.000000e-001 9.000000e-001 0.000000e+000
21 1.000000e+000 6.500000e-001 0.000000e+000
22 1.000000e+000 5.000000e-001 0.000000e+000
23 1.000000e+000 3.500000e-001 0.000000e+000
24 9.000000e-001 1.000000e-001 0.000000e+000
25 6.500000e-001 0.000000e+000 0.000000e+000
26 5.000000e-001 0.000000e+000 0.000000e+000
27 3.500000e-001 0.000000e+000 0.000000e+000
28 2.494462e-001 1.241672e-001 0.000000e+000
29 1.384250e-001 2.526556e-001 0.000000e+000
30 1.145645e-001 4.171829e-001 0.000000e+000
31 1.188677e-001 5.650146e-001 0.000000e+000
32 1.234488e-001 7.180032e-001 0.000000e+000
33 2.573219e-001 7.666703e-001 0.000000e+000
34 3.718307e-001 6.619524e-001 0.000000e+000
35 4.800400e-001 5.596448e-001 0.000000e+000
36 7.426751e-001 6.269669e-001 0.000000e+000
37 8.452490e-001 7.378480e-001 0.000000e+000
38 8.610656e-001 4.141584e-001 0.000000e+000
39 8.656117e-001 2.558958e-001 0.000000e+000
40 7.459990e-001 1.437688e-001 0.000000e+000
41 5.748995e-001 1.680617e-001 0.000000e+000
42 4.054895e-001 1.354198e-001 0.000000e+000
43 5.938415e-001 4.553023e-001 0.000000e+000
44 7.302321e-001 4.934099e-001 0.000000e+000
45 8.667019e-001 5.699326e-001 0.000000e+000
46 2.325538e-001 4.798297e-001 0.000000e+000
47 4.620526e-001 4.210686e-001 0.000000e+000
48 2.429229e-001 6.201556e-001 0.000000e+000
49 3.550506e-001 5.218789e-001 0.000000e+000
50 7.093040e-001 3.214742e-001 0.000000e+000
51 2.234286e-001 3.540813e-001 0.000000e+000
52 4.391565e-001 2.772709e-001 0.000000e+000
53 3.004328e-001 2.499767e-001 0.000000e+000
54 5.601600e-001 3.252873e-001 0.000000e+000
55 3.390020e-001 3.842186e-001 0.000000e+000
28 203 10 9 28 
29 203 8 10 29 
30 203 10 28 29 
31 203 11 8 29 
32 203 12 11 30 
33 203 13 12 31 
34 203 12 30 31 
35 203 7 13 32 
36 203 13 31 32 
37 203 14 7 32 
38 203 6 14 15 
39 203 16 15 33 
40 203 17 16 34 
41 203 16 33 34 
42 203 5 17 35 
43 203 17 34 35 
44 203 18 5 36 
45 203 19 18 37 
46 203 18 36 37 
47 203 4 19 20 
48 203 3 20 37 
49 203 21 3 37 
50 203 23 22 38 
51 203 2 23 39 
52 203 23 38 39 
53 203 24 2 39 
54 203 1 24 40 
55 203 25 1 40 
56 203 26 25 41 
57 203 27 26 42 
58 203 26 41 42 
59 203 9 27 28 
60 203 15 14 33 
61 203 20 19 37 
62 203 30 11 29 
63 203 14 32 33 
64 203 5 35 43 
65 203 36 5 44 
66 203 5 43 44 
67 203 24 39 40 
68 203 21 37 45 
69 203 22 21 45 
70 203 37 36 45 
71 203 38 22 45 
72 203 28 27 42 
73 203 25 40 41 
74 203 31 30 46 
75 203 43 35 47 
76 203 32 31 48 
77 203 33 32 48 
78 203 31 46 48 
79 203 38 45 44 
80 203 34 33 48 
81 203 35 34 49 
82 203 47 35 49 
83 203 34 48 49 
84 203 39 38 50 
85 203 40 39 50 
86 203 38 44 50 
87 203 30 29 51 
88 203 45 36 44 
89 203 42 41 52 
90 203 28 42 53 
91 203 41 40 50 
92 203 29 28 53 
93 203 43 47 54 
94 203 44 43 50 
95 203 29 53 51 
96 203 50 54 41 
97 203 53 42 52 
98 203 46 30 51 
99 203 48 46 49 
100 203 51 53 55 
101 203 46 51 55 
102 203 53 52 55 
103 203 50 43 54 
104 203 46 55 49 
105 203 47 49 55 
106 203 54 47 52 
107 203 55 52 47 
108 203 52 41 54 
