13 13
1 1.000000e+000 0.000000e+000 0.000000e+000
2 0.000000e+000 1.000000e+000 0.000000e+000
3 0.000000e+000 0.000000e+000 0.000000e+000
4 0.000000e+000 3.333333e-001 0.000000e+000
5 0.000000e+000 6.666667e-001 0.000000e+000
6 2.000000e-001 8.000000e-001 0.000000e+000
7 4.000000e-001 6.000000e-001 0.000000e+000
8 6.000000e-001 4.000000e-001 0.000000e+000
9 8.000000e-001 2.000000e-001 0.000000e+000
10 6.666667e-001 0.000000e+000 0.000000e+000
11 3.333333e-001 0.000000e+000 0.000000e+000
12 3.201666e-001 2.781309e-001 0.000000e+000
13 1.852813e-001 5.262283e-001 0.000000e+000
12 203 4 12 3 
13 203 5 2 6 
14 203 7 8 12 
15 203 9 1 10 
16 203 10 11 12 
17 203 11 3 12 
18 203 4 5 13 
19 203 7 13 6 
20 203 9 10 8 
21 203 10 12 8 
22 203 5 6 13 
23 203 7 12 13 
24 203 4 13 12 
